ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie. Reglement UE N 1169/2011 (kJ/100g);Eau (g/100g);Proteines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG satures (g/100g);AG monoinsatures (g/100g);AG polyinsatures (g/100g);AG 4:0. butyrique (g/100g);AG 6:0. caproique (g/100g);AG 8:0. caprylique (g/100g);AG 10:0. caprique (g/100g);AG 12:0. laurique (g/100g);AG 14:0. myristique (g/100g);AG 16:0. palmitique (g/100g);AG 18:0. stearique (g/100g);AG 18:1 9c (n09). oleique (g/100g);AG 18:2 9c.12c (n06). linoleique (g/100g);AG 18:3 c9.c12.c15 (n03). alpha0linolenique (g/100g);AG 20:4 5c.8c.11c.14c (n06). arachidonique (g/100g);AG 20:5 5c.8c.11c.14c.17c (n03) EPA (g/100g);AG 22:6 4c.7c.10c.13c.16c.19c (n03) DHA (g/100g);Cholesterol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (g/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Selenium (g/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (g/100g);Beta0Carotene (g/100g);Vitamine D (g/100g);Vitamine E (mg/100g);Vitamine K1 (g/100g);Vitamine K2 (g/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothenique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (g/100g);Vitamine B12 (g/100g)
10;Volailles;36402;Faisan. viande. rotie/cuite au four;999;55.8;32.4;0;12.1;0;0;0;0;1.3;0;0;3.91;5.63;1.19;0;0;0;0;0.065;0.12;2.88;0.85;0;0;0;0;0;0;89;0.18;16;0;0.084;1.43;4;22;0;242;271;0;43;1.37;57;0;0.2;0.27;4.9;0;2.3;0.07;0.18;7.53;0;0.75;5;0.72
10;Volailles;36403;Faisan. viande et peau. cru;688;67.8;23.2;0;7.95;0;0;0;0;1.3;0;0;3.32;3.3;0.89;0;0;0;0;0.047;0.084;2.07;0.61;2.88;0.76;0.093;0;0;0;71;0.09;15;0;0.065;1.58;5;20;0.017;214;243;0;36;0.96;73;0;0;0;0;0;5.3;0.072;0.14;6.43;0.93;0.66;6;0.77
10;Volailles;36500;Oie. viande crue;648;68.3;22.6;0;7.12;0;0;0;0;1.1;0;0;2.79;1.85;0.9;0;0;0;0;0.03;0.03;1.47;0.92;1.58;0.8;0.1;0;0;0;84;0.2;13;0;0.31;2.57;0;24;0.024;312;368;24;78;2.34;21;0;1;0;4.1;31;7.2;0.13;0.38;4.28;1.97;0.64;21;0.49
10;Volailles;36501;Oie. viande et peau. crue;1510;49.7;15.7;0;33.6;0;0;0;0;0.89;0;0;9.78;17.8;3.76;0;0;0;0;0.03;0.17;6.95;2.33;16.7;3.34;0.21;0;0;0;80;0.18;12;0;0.2;2.5;1.2;21;0.02;234;312;24;71;1.54;23.5;0;1;0;0;0;4.2;0.11;0.3;5.8;1.29;0.49;7.5;0.34
10;Volailles;36502;Oie. viande. rotie/cuite au four;961;54.6;29;0;12.7;0;0;0;0;1.14;0;0;4.56;4.34;1.54;0;0;0;0;0.04;0.05;2.61;1.4;0;0;0;0;0;0;96;0.25;14;0;0.28;2.87;4;25;0.024;309;388;0;76;3.17;12;0;0.1;0;0;0;0;0.092;0.39;4.08;1.83;0.47;12;0.49
10;Volailles;36503;Oie. viande et peau. rotie/cuite au four;1240;52;25.2;0;21.9;0;0;0;0;0.97;0;0;6.87;10.3;2.52;0;0;0;0;0.04;0.11;4.53;1.81;0;0;0;0;0;0;91;0.18;13;0;0.26;2.83;0;22;0.023;270;329;0;70;2.62;21;0;0.1;1.74;5.1;0;0;0.077;0.32;4.17;1.53;0.37;2;0.41
10;Volailles;36600;Pigeon. cru;924;64.7;18.9;0.7;16;0.4;0;0;0;1.29;0;0;4.89;6.19;2.33;0;0;0;0;0;0.02;2.9;1.81;4.31;1.85;0;0.19;0.01;0.025;92.5;0.17;12.5;0;0.52;4.03;0;22.8;0.019;278;244;0;67.8;2.45;50.5;0;0.4;0.1;0;0;6.2;0.25;0.25;6.45;0.77;0.47;9.75;0.44
10;Volailles;36602;Pigeon. viande. rotie/cuite au four;887;62;23.9;0;13;0;0;0;0;1.1;0;0;3.74;5.46;2.73;0;0;0;0;0.005;0.087;2.51;1.02;0;0;0;0;0.005;0.015;116;0.14;17;0;0.76;5.91;4;26;0;332;256;0;57;3.83;28;0;0.2;0.06;4;0;2.9;0.28;0.35;7.6;0;0.57;6;0.41
10;Volailles;36700;Pintade. crue;601;71.7;22.8;0;5.75;0;0;0;0;1.25;0;0;1.55;1.56;1;0;0;0;0;0.01;0.035;0.86;0.28;0;0;0;0;0.01;0.03;68.5;0.18;11.5;0;0.044;0.8;0;23;0.018;161;207;0;70.5;1.17;20;0;0.4;0;0;0;1.5;0.063;0.11;8.22;0.91;0.43;5.5;0.36
10;Volailles;36702;Pintade. poitrine. crue;453;75.3;25.1;0;0.7;0;0;0;0;0.72;0;0;0.23;0.25;0.15;0;0;0;0;0;0;0;0;0.21;0.12;0.01;0;0;0;57;0.13;4;0;0;0.3;0;0;0;230;360;0;50;1;0;0;0.3;1E-14;0;0;0;0.14;0.15;9.1;0;0.81;9;0
